viral_protein	human_protein
P0DTD1-PRO_0000449627	Q8N0X7
P0DTD1-PRO_0000449627	Q86YT6
P0DTD1-PRO_0000449627	Q7Z3B4
P0DTD1-PRO_0000449627	Q15056
P0DTD1-PRO_0000449627	P61962
P0DTD1-PRO_0000449627	P37198
P0DTD1-PRO_0000449627	P35658
P0DTD1-PRO_0000449627	P35555
P0DTD1-PRO_0000449627	P13984
P0DTC7	Q9NU22
P0DTC7	Q7Z4Q2
P0DTC8	Q96IV0
P0DTC8	Q8N0Z8
P0DTC8	Q96AY3
P0DTC8	Q13443
P0DTC8	Q9Y680
P0DTC8	Q9Y4L1
P0DTC8	Q9UHI8
P0DTC8	Q9P2E5
P0DTC8	Q9NYU1
P0DTC8	Q9NXK8
P0DTC8	Q9H8W4
P0DTC8	Q9H4F8
P0DTC8	Q9H488
P0DTC8	Q9H173
P0DTC8	Q9BZQ6
P0DTC8	Q9BS26
P0DTC8	Q9BRN9
P0DTC8	Q99988
P0DTC8	Q99519
P0DTC8	Q99470
P0DTC8	Q96MM7
P0DTC8	Q96F46
P0DTC8	Q96DZ1
P0DTC8	Q92820
P0DTC8	Q8N766
P0DTC8	Q8IZ52
P0DTC8	Q8IWF2
P0DTC8	Q8IV08
P0DTC8	Q86YB8
P0DTC8	Q7Z4H8
P0DTC8	Q6UW63
P0DTC8	Q15818
P0DTC8	Q13438
P0DTC8	Q08431
P0DTC8	P61916
P0DTC8	P58166
P0DTC8	P29122
P0DTC8	P28300
P0DTC8	P26358
P0DTC8	P15151
P0DTC8	P12109
P0DTC8	P0C7P0
P0DTC8	P05556
P0DTC8	P00750
P0DTC8	O76061
P0DTC8	O14656
P0DTC8	O00469
P0DTD2	Q9UL15
P0DTD2	Q9UKA9
P0DTD2	Q9P0L2
P0DTD2	Q9H773
P0DTD2	Q9H2P9
P0DTD2	Q7KZI7
P0DTD2	P27448
P0DTD2	O94826
P0DTD2	O75534
P0DTD2	O43633
P0DTD2	O14745
P0DTD3	Q9Y3A6
P0DTD3	Q2PZI1
P0DTD3	Q96S52
P0DTD3	Q9Y6M9
P0DTD3	Q9Y375
P0DTD3	Q9Y276
P0DTD3	Q9NV92
P0DTD3	Q9H845
P0DTD3	Q9H3K2
P0DTD3	Q9GZU3
P0DTD3	Q9BVK2
P0DTD3	Q9BQ95
P0DTD3	Q96K12
P0DTD3	Q8TEQ8
P0DTD3	Q86VR2
P0DTD3	Q86UT6
P0DTD3	Q7Z2K6
P0DTD3	Q6NXT6
P0DTD3	Q6NXT4
P0DTD3	Q5BJF2
P0DTD3	Q12770
P0DTD3	P55085
P0DTD3	P33527
P0DTD3	O76024
P0DTD3	O43292
P0DTD3	O00124
P0DTD1-PRO_0000449622	P42696
P0DTD1-PRO_0000449622	O95104
P0DTD1-PRO_0000449622	Q8N5C6
P0DTD1-PRO_0000449622	P82650
P0DTD1-PRO_0000449622	Q9GZR7
P0DTD1-PRO_0000449622	Q12788
P0DTD1-PRO_0000449622	P40938
P0DTD1-PRO_0000449622	Q9P035
P0DTD1-PRO_0000449622	Q9HC36
P0DTD1-PRO_0000449622	Q9H0A0
P0DTD1-PRO_0000449623	Q96N67
P0DTD1-PRO_0000449623	Q8NC51
P0DTD1-PRO_0000449623	P60660
P0DTD1-PRO_0000449623	P19105
P0DTD1-PRO_0000449623	Q9UM54
P0DTD1-PRO_0000449625	P31689
P0DTD1-PRO_0000449625	Q00325
P0DTD1-PRO_0000449625	P06576
P0DTD1-PRO_0000449625	P57088
P0DTD1-PRO_0000449625	P25705
P0DTD1-PRO_0000449625	Q9NZ01
P0DTD1-PRO_0000449625	P55786
P0DTD1-PRO_0000449625	O43592
P0DTD1-PRO_0000449625	P05023
P0DTD1-PRO_0000449625	P16615
P0DTD1-PRO_0000449625	O14980
P0DTD1-PRO_0000449625	P30043
P0DTD1-PRO_0000449626	Q99460
P0DTD1-PRO_0000449626	P63244
P0DTD1-PRO_0000449626	P53396
P0DTD1-PRO_0000449626	P22234
P0DTD1-PRO_0000449626	Q9NNW5
P0DTD1-PRO_0000449626	P31689
P0DTD1-PRO_0000449626	P53621
P0DTD1-PRO_0000449626	P06733
P0DTD1-PRO_0000449626	P25705
P0DTD1-PRO_0000449626	P50991
P0DTD1-PRO_0000449626	P35998
P0DTD1-PRO_0000449626	P27348
P0DTD1-PRO_0000449626	P06576
P0DTD1-PRO_0000449626	P25205
P0DTD1-PRO_0000449626	O95347
P0DTD1-PRO_0000449626	P47756
P0DTD1-PRO_0000449626	Q9P035
P0DTD1-PRO_0000449626	Q13200
P0DTD1-PRO_0000449626	P48643
P0DTD1-PRO_0000449626	P52907
P0DTD1-PRO_0000449626	Q9ULV4
P0DTD1-PRO_0000449626	P62140
P0DTD1-PRO_0000449626	Q9NYL9
P0DTD1-PRO_0000449626	P09622
P0DTD1-PRO_0000449626	P16615
P0DTD1-PRO_0000449626	P19105
P0DTD1-PRO_0000449626	P00338
P0DTD1-PRO_0000449626	P05023
P0DTD1-PRO_0000449626	P22314
P0DTD1-PRO_0000449627	O95757
P0DTD1-PRO_0000449627	O15226
P0DTD1-PRO_0000449627	P11586
P0DTD1-PRO_0000449627	P40938
P0DTD1-PRO_0000449627	Q07021
P0DTD1-PRO_0000449628	P62140
P0DTD1-PRO_0000449628	O95831
P0DTD1-PRO_0000449628	P27348
P0DTD1-PRO_0000449628	P25205
P0DTD1-PRO_0000449628	P26599
P0DTD1-PRO_0000449628	P12268
P0DTD1-PRO_0000449628	P47756
P0DTD1-PRO_0000449628	P48643
P0DTD1-PRO_0000449628	Q14315
P0DTD1-PRO_0000449628	Q00325
P0DTD1-PRO_0000449628	P31689
P0DTD1-PRO_0000449628	Q16576
P0DTD1-PRO_0000449628	O00148
P0DTD1-PRO_0000449628	Q15366
P0DTD1-PRO_0000449628	P25705
P0DTD1-PRO_0000449628	O15226
P0DTD1-PRO_0000449628	P53396
P0DTD1-PRO_0000449628	Q15942
P0DTD1-PRO_0000449628	O14980
P0DTD1-PRO_0000449628	Q92945
P0DTD1-PRO_0000449628	Q07021
P0DTD1-PRO_0000449628	Q99615
P0DTD1-PRO_0000449628	P04406
P0DTD1-PRO_0000449628	Q9NZ01
P0DTD1-PRO_0000449628	P51570
P0DTD1-PRO_0000449628	P05023
P0DTD1-PRO_0000449628	P67936
P0DTD1-PRO_0000449628	Q9NRN7
P0DTC1-PRO_0000449645	Q9UM54
P0DTC1-PRO_0000449645	O43795
P0DTC1-PRO_0000449645	P61158
P0DTD1-PRO_0000449629	P06576
P0DTD1-PRO_0000449629	P25205
P0DTD1-PRO_0000449629	Q9NNW5
P0DTD1-PRO_0000449629	P47756
P0DTD1-PRO_0000449629	P25789
P0DTD1-PRO_0000449629	P31689
P0DTD1-PRO_0000449629	Q96N67
P0DTD1-PRO_0000449629	O15226
P0DTD1-PRO_0000449629	P08621
P0DTD1-PRO_0000449629	P50990
P0DTD1-PRO_0000449629	Q9ULV4
P0DTD1-PRO_0000449629	P50991
P0DTD1-PRO_0000449629	P40227
P0DTD1-PRO_0000449629	Q16875
P0DTD1-PRO_0000449629	P06753
P0DTD1-PRO_0000449629	P09622
P0DTD1-PRO_0000449629	Q5JWF2
P0DTD1-PRO_0000449629	Q9UM54
P0DTD1-PRO_0000449630	P47756
P0DTD1-PRO_0000449630	Q9H0A0
P0DTD1-PRO_0000449630	Q9NNW5
P0DTD1-PRO_0000449630	P25789
P0DTD1-PRO_0000449630	P62269
P0DTD1-PRO_0000449630	P49368
P0DTD1-PRO_0000449630	P52907
P0DTD1-PRO_0000449630	P63244
P0DTD1-PRO_0000449630	P50991
P0DTD1-PRO_0000449630	O15226
P0DTD1-PRO_0000449630	P04406
P0DTD1-PRO_0000449630	Q96N67
P0DTD1-PRO_0000449630	P62140
P0DTD1-PRO_0000449630	P26599
P0DTD1-PRO_0000449630	P08621
P0DTD1-PRO_0000449630	P40227
P0DTD1-PRO_0000449630	O75688
P0DTD1-PRO_0000449630	Q16875
P0DTD1-PRO_0000449630	P48643
P0DTD1-PRO_0000449630	P04075
P0DTD1-PRO_0000449630	P00338
P0DTD1-PRO_0000449630	P19105
P0DTD1-PRO_0000449630	Q8NC51
P0DTD1-PRO_0000449630	Q5JWF2
P0DTD1-PRO_0000449630	P61158
P0DTD1-PRO_0000449630	Q9UM54
P0DTD1-PRO_0000449631	Q15365
P0DTD1-PRO_0000449631	Q14315
P0DTD1-PRO_0000449631	Q15366
P0DTD1-PRO_0000449631	P49368
P0DTD1-PRO_0000449631	P17987
P0DTD1-PRO_0000449631	Q92945
P0DTD1-PRO_0000449631	P05023
P0DTD1-PRO_0000449631	P47756
P0DTD1-PRO_0000449631	P53396
P0DTD1-PRO_0000449631	P46109
P0DTD1-PRO_0000449631	P60660
P0DTD1-PRO_0000449631	P40227
P0DTD1-PRO_0000449631	P48643
P0DTD1-PRO_0000449631	P47755
P0DTD1-PRO_0000449631	P13797
P0DTD1-PRO_0000449631	P49327
P0DTD1-PRO_0000449631	P59998
P0DTD1-PRO_0000449631	Q8NC51
P0DTD1-PRO_0000449631	P11586
P0DTD1-PRO_0000449631	P22314
P0DTD1-PRO_0000449631	P61158
P0DTD1-PRO_0000449632	P35251
P0DTD1-PRO_0000449632	Q9NWT1
P0DTD1-PRO_0000449632	Q9H0D6
P0DTD1-PRO_0000449632	Q13868
P0DTD1-PRO_0000449632	P0DN76
P0DTD1-PRO_0000449632	Q15024
P0DTD1-PRO_0000449632	Q9Y383
P0DTD1-PRO_0000449632	P62263
P0DTD1-PRO_0000449632	P08865
P0DTD1-PRO_0000449632	Q14498
P0DTD1-PRO_0000449632	Q9UHX1
P0DTD1-PRO_0000449632	Q96SB4
P0DTD1-PRO_0000449632	P46087
P0DTD1-PRO_0000449632	P62269
P0DTD1-PRO_0000449632	P08708
P0DTD1-PRO_0000449632	P63244
P0DTD1-PRO_0000449632	P42285
P0DTD1-PRO_0000449632	Q99848
P0DTD1-PRO_0000449632	Q12789
P0DTD1-PRO_0000449632	P46783
P0DTD1-PRO_0000449632	Q9P015
P0DTD1-PRO_0000449632	Q13243
P0DTD1-PRO_0000449632	Q1KMD3
P0DTD1-PRO_0000449632	P46782
P0DTD1-PRO_0000449632	O60293
P0DTD1-PRO_0000449632	Q86UE4
P0DTD1-PRO_0000449632	O60832
P0DTD1-PRO_0000449632	P26599
P0DTD1-PRO_0000449632	Q7Z2T5
P0DTD1-PRO_0000449632	O43395
P0DTD1-PRO_0000449632	Q2NL82
P0DTD1-PRO_0000449632	O75569
P0DTD1-PRO_0000449632	Q9NX58
P0DTD1-PRO_0000449632	Q8N9T8
P0DTD1-PRO_0000449632	Q9UJV9
P0DTD1-PRO_0000449632	Q9UKD2
P0DTD1-PRO_0000449632	O15381
P0DTD1-PRO_0000449632	O15226
P0DTD1-PRO_0000449632	O76021
P0DTD1-PRO_0000449632	Q15020
P0DTD1-PRO_0000449632	P42696
P0DTD1-PRO_0000449632	O75934
P0DTD1-PRO_0000449632	Q5SSJ5
P0DTD1-PRO_0000449632	Q13523
P0DTD1-PRO_0000449632	O95104
P0DTD1-PRO_0000449632	P40938
P0DTD1-PRO_0000449632	Q14137
P0DTD1-PRO_0000449632	Q9BZE4
P0DTD1-PRO_0000449632	Q92974
P0DTD1-PRO_0000449632	Q12788
P0DTD1-PRO_0000449632	Q9HC36
P0DTD1-PRO_0000449632	Q9UNQ2
P0DTD1-PRO_0000449632	O00411
P0DTC2	P62269
P0DTC2	Q96N67
P0DTC2	P63244
P0DTC2	P40227
P0DTC2	P07195
P0DTC2	P08621
P0DTC2	P60660
P0DTC2	P47756
P0DTC2	P52907
P0DTC2	Q9NYL9
P0DTC2	P13797
P0DTC2	Q9ULV4
P0DTC2	P59998
P0DTC2	P61158
P0DTC2	Q9UM54
P0DTC4	Q9ULX6
P0DTC4	P50402
P0DTC4	Q00325
P0DTC4	P05023
P0DTC4	O75746
P0DTC4	P16615
P0DTC4	Q9P035
P0DTC4	Q5H9R7
P0DTC5	P30876
P0DTC5	O15397
P0DTC5	Q9H078
P0DTC5	P62195
P0DTC5	P26599
P0DTC5	O60762
P0DTC5	Q9H936
P0DTC5	O00231
P0DTC5	Q9ULX6
P0DTC5	Q9UHI6
P0DTC5	Q7Z4H7
P0DTC5	Q96EY1
P0DTC5	Q00325
P0DTC5	Q15008
P0DTC5	O14818
P0DTC5	P40939
P0DTC5	P50402
P0DTC5	Q5H9R7
P0DTC5	O95757
P0DTC5	P57678
P0DTC5	P31689
P0DTC5	O15027
P0DTC5	P60900
P0DTC5	P25705
P0DTC5	P51665
P0DTC5	P62191
P0DTC5	P06576
P0DTC5	Q14257
P0DTC5	Q99615
P0DTC5	O95816
P0DTC5	O95071
P0DTC5	P46379
P0DTC5	O75746
P0DTC5	Q9Y5A9
P0DTC5	Q13200
P0DTC5	P53618
P0DTC5	Q9NZ01
P0DTC5	P35998
P0DTC5	Q16891
P0DTC5	O60884
P0DTC5	O43852
P0DTC5	Q99460
P0DTC5	Q9NTJ3
P0DTC5	P53621
P0DTC5	P55786
P0DTC5	Q15293
P0DTC5	P34932
P0DTC5	Q9UBF2
P0DTC5	O43592
P0DTC5	P35606
P0DTC5	P05023
P0DTC5	O95347
P0DTC5	P16615
P0DTC5	O14980
P0DTC5	Q96CS3
P0DTC5	Q9P035
P0DTC9	P09622
P0DTC9	P08621
P0DTC9	P38159
P0DTC9	Q13151
P0DTC9	Q9UN86
P0DTC9	Q13283
P0DTC9	Q9UM54
P0DTC3	P40939
P0DTC3	Q14257
P0DTC3	P22314
P0DTC3	P04406
P0DTC3	P57088
P0DTC3	Q8IXB1
P0DTC3	Q00325
P0DTC3	P31689
P0DTC3	P25705
P0DTC3	O43852
P0DTC3	O95757
P0DTC3	P46379
P0DTC3	P53621
P0DTC3	Q9H936
P0DTC3	O60884
P0DTC3	P26599
P0DTC3	O75746
P0DTC3	P11586
P0DTC3	Q9NZ01
P0DTC3	P53007
P0DTC3	P05023
P0DTC3	Q96CS3
P0DTC3	O43592
P0DTC3	O95347
P0DTC3	P16615
P0DTC3	Q16891
P0DTC3	O14980
P0DTC3	Q9P035
P0DTC6	Q5SW79
P0DTC6	P25705
P0DTC6	Q92552
P0DTC6	P06576
P0DTC6	P15924
P0DTC6	P53396
P0DTC6	P16615
P0DTC6	Q5T9A4
P0DTC6	P05023
P0DTC6	O75592
P0DTC6	O75934
P0DTC6	O14980
P0DTC6	Q96CS3
P0DTC6	P78406
P0DTC6	Q9NVI7
P0DTC6	P33176
P0DTC6	Q13561
P0DTC6	Q6P2E9
P0DTC7	P30153
P0DTC7	P06576
P0DTC7	P40939
P0DTC7	Q8IXB1
P0DTC7	Q9UHI6
P0DTC7	O95816
P0DTC7	P53007
P0DTC7	Q96EY1
P0DTC7	P50402
P0DTC7	O43852
P0DTC7	Q9H936
P0DTC7	P62195
P0DTC7	P30876
P0DTC7	Q99615
P0DTC7	P55786
P0DTC7	P57678
P0DTC7	Q00325
P0DTC7	O75746
P0DTC7	O15027
P0DTC7	P34932
P0DTC7	Q15008
P0DTC7	Q9UNM6
P0DTC7	O95071
P0DTC7	O60884
P0DTC7	P62191
P0DTC7	P05023
P0DTC7	P51665
P0DTC7	P53618
P0DTC7	Q9NZ01
P0DTC7	P35998
P0DTC7	Q13200
P0DTC7	P53621
P0DTC7	Q5H9R7
P0DTC7	P16615
P0DTC7	Q99460
P0DTC7	O43592
P0DTC7	Q9NXS2
P0DTC7	P46379
P0DTC7	Q16891
P0DTC7	O95347
P0DTC7	P35606
P0DTC7	Q9UBF2
P0DTC7	Q9P035
P0DTC7	O14980
P0DTC7	Q96CS3
P0DTD8	Q14257
P0DTD8	O60762
P0DTD8	O43852
P0DTD8	P25705
P0DTD8	P31689
P0DTD8	P06576
P0DTD8	Q8WTT2
P0DTD8	Q7KZF4
P0DTD8	Q9NVI7
P0DTD8	P05023
P0DTD8	P55786
P0DTD8	Q00325
P0DTD8	P53618
P0DTD8	P57088
P0DTD8	O43592
P0DTD8	O95347
P0DTD8	Q9NZ01
P0DTD8	Q16891
P0DTD8	P16615
P0DTD8	P53621
P0DTD8	Q9NXS2
P0DTD8	Q96CS3
P0DTD8	Q02978
P0DTD8	P35606
P0DTD8	Q9UBF2
P0DTD8	Q9P035
P0DTD8	O14980
P0DTD8	P10155
P0DTC8	Q14152
P0DTC8	P50402
P0DTC8	Q9UHI6
P0DTC8	P06576
P0DTC8	P62195
P0DTC8	P25705
P0DTC8	P40939
P0DTC8	Q5JWF2
P0DTC8	O14818
P0DTC8	P55786
P0DTC8	P57678
P0DTC8	O43852
P0DTC8	Q12789
P0DTC8	Q9H936
P0DTC8	P31689
P0DTC8	Q15008
P0DTC8	Q9UNM6
P0DTC8	Q00325
P0DTC8	O15027
P0DTC8	P30876
P0DTC8	Q7KZF4
P0DTC8	Q9NVI7
P0DTC8	O60884
P0DTC8	Q13200
P0DTC8	P05023
P0DTC8	O95071
P0DTC8	P35998
P0DTC8	O43592
P0DTC8	Q02978
P0DTC8	Q9NZ01
P0DTC8	P53618
P0DTC8	Q99460
P0DTC8	O75746
P0DTC8	P16615
P0DTC8	P53621
P0DTC8	Q16891
P0DTC8	O95347
P0DTC8	O14980
P0DTC8	Q9P035
P0DTC8	Q9UBF2
P0DTC8	P46379
P0DTD2	P19105
P0DTD2	Q14315
P0DTD2	P62140
P0DTD2	P0DP23
P0DTD2	P09622
P0DTD2	P52907
P0DTD2	P60660
P0DTD2	Q9NYL9
P0DTD2	P13797
P0DTD2	Q9UM54
P0DTD2	Q9ULV4
P0DTD2	P59998
P0DTD3	Q9BUQ8
P0DTD3	Q96N67
P0DTD3	Q15365
P0DTD3	P17987
P0DTD3	O00231
P0DTD3	Q14257
P0DTD3	Q16576
P0DTD3	P62269
P0DTD3	Q58FF8
P0DTD3	P27348
P0DTD3	P40227
P0DTD3	P63244
P0DTD3	P49368
P0DTD3	Q9Y265
P0DTD3	P07355
P0DTD3	P46379
P0DTD3	P48643
P0DTD3	Q99832
P0DTD3	Q9UHI6
P0DTD3	P31948
P0DTD3	Q3ZCQ8
P0DTD3	Q9NVI7
P0DTD3	P46782
P0DTD3	P25205
P0DTD3	P30153
P0DTD3	Q9ULX6
P0DTD3	P42677
P0DTD3	P61158
P0DTD3	P09874
P0DTD3	P50402
P0DTD3	P30876
P0DTD3	Q9NXS2
P0DTD3	P40939
P0DTD3	P06493
P0DTD3	P51570
P0DTD3	Q7Z4H7
P0DTD3	P57088
P0DTD3	Q14739
P0DTD3	P10155
P0DTD3	Q9UM54
P0DTD3	P04406
P0DTD3	Q9H936
P0DTD3	P11586
P0DTD3	Q9UBX3
P0DTD3	Q5H9R7
P0DTD3	P53618
P0DTD3	P53007
P0DTD3	P12004
P0DTD3	P05023
