Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1CF,140.2663342,0.221318218,0.361104434,0.612892551,0.539947389,0.990364873
A2M-AS1,0.508350752,3.258566233,4.373423605,0.745083607,0.456221179,0.990364873
A4GALT,17.79842662,0.598150395,0.912806691,0.655287041,0.512282963,0.990364873
AAAS,295.3731349,0.197104392,0.377747185,0.521789176,0.601817127,0.990364873
AACS,123.5364747,-0.63111622,0.387355633,-1.629294031,0.103250789,0.921701525
AACSP1,0.091410604,-0.673214071,6.021888575,-0.111794508,0.910986342,0.996317104
AADAC,116.3269141,0.628225755,0.566866393,1.108243075,0.267756852,0.990364873
AADACL3,0.222282769,-1.163182458,6.000685957,-0.193841582,0.846299927,0.996317104
AADACP1,6.76001212,1.181100716,1.295809998,0.911476773,0.362044218,0.990364873
AADAT,5.889804685,1.463419297,1.509218528,0.969653678,0.332219147,0.990364873
AAED1,8.406670615,0.243028048,1.287473002,0.188763607,0.850278096,0.996317104
AAGAB,273.164153,0.548712085,0.276642275,1.983471562,0.047314781,0.754762051
AAK1,74.45769463,0.506710641,0.583430243,0.868502528,0.385119289,0.990364873
AAMDC,24.31361412,1.88452252,0.719148822,2.620490312,0.008780342,0.370224388
AAMP,64.71059347,-0.468097028,0.467956838,-1.000299578,0.317165551,0.990364873
AANAT,1.073964178,-4.241701696,5.954133349,-0.712396154,0.476219497,0.990364873
AAR2,112.0620547,-0.242242965,0.43169762,-0.561140377,0.574701844,0.990364873
AARD,0.290778389,3.840961532,6.065116423,0.633287354,0.52654601,0.990364873
AARS,196.7041566,0.504323954,0.470995958,1.070760684,0.284277049,0.990364873
AARS2,22.88260707,0.166392249,0.667865035,0.24914053,0.803252079,0.996317104
AASDH,39.18978937,0.179524174,0.571604991,0.314070341,0.753467615,0.993774676
AASDHPPT,160.7077593,-1.132698781,0.437766893,-2.587447336,0.009668997,0.387922763
AASS,3.901090469,0.745047289,1.67633278,0.444450707,0.65671676,0.990364873
AATBC,0.237433383,2.022082185,6.120206177,0.330394455,0.741101931,0.990364873
AATF,52.6070862,0.508438158,0.538324056,0.944483443,0.344922659,0.990364873
AATK,30.73617605,-0.015997797,0.62482736,-0.025603548,0.979573556,0.99641976
ABAT,30.75708494,-1.47838685,0.595718994,-2.481684932,0.013076284,0.448793393
ABCA1,4.348834306,0.29950836,1.607830293,0.186281078,0.852224345,0.996317104
ABCA10,3.204483839,1.233477292,1.988097412,0.620431013,0.53497406,0.990364873
ABCA11P,3.036845143,-2.545961602,2.252168844,-1.130448816,0.258287154,0.990364873
ABCA13,1.583640372,0.006275015,3.418357345,0.001835682,0.998535339,0.999089958
ABCA17P,0.221501104,-1.744928495,5.983217251,-0.291637161,0.770564059,0.99576093
ABCA2,23.05780902,-3.566418581,1.310116582,-2.722214671,0.0064846,0.324994211
ABCA3,6.674373939,-1.197020924,1.464195529,-0.817528056,0.413626723,0.990364873
