Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA4,0.514984181,-2.697836574,5.823631323,-0.463256759,0.643180336,0.990364873
ABCA5,43.8162618,0.480244214,0.56855929,0.84466866,0.398295862,0.990364873
ABCA6,0.15885287,2.022070021,6.120206177,0.330392468,0.741103432,0.990364873
ABCA7,3.358525553,-1.196263718,2.425415899,-0.493220036,0.621857122,0.990364873
ABCA9,1.055703023,2.092614649,3.506273494,0.596820143,0.550627468,0.990364873
ABCB1,26.69018519,0.667852391,0.717049682,0.931389285,0.351652231,0.990364873
ABCB10,87.36274548,-0.171656056,0.58633722,-0.29275995,0.769705643,0.99576093
ABCB4,0.23003281,2.022070768,6.120206177,0.33039259,0.74110334,0.990364873
ABCB5,0.466714347,2.83477924,6.027251021,0.470327058,0.638121369,0.990364873
ABCB6,21.61001771,0.505322567,0.676616501,0.746837486,0.455161665,0.990364873
ABCB7,21.42337349,0.257935947,0.756817374,0.34081663,0.73324163,0.990364873
ABCB8,36.02527761,-0.01285442,0.70936943,-0.01812091,0.985542397,0.99641976
ABCB9,25.65682822,-1.093549504,1.035814173,-1.055739082,0.291087437,0.990364873
ABCC1,46.39532394,-1.40904969,0.712252921,-1.978299631,0.047894915,0.758763507
ABCC10,40.32713248,-0.354154237,0.67746365,-0.52276493,0.601137848,0.990364873
ABCC11,0.219378733,1.887392738,6.071655401,0.310853073,0.755912321,0.993774676
ABCC13,4.185851656,3.129970604,1.982338943,1.578928072,0.114352556,0.937453744
ABCC2,46.01618438,0.901745771,0.805399217,1.119625836,0.262873241,0.990364873
ABCC3,1334.81533,-0.347438204,0.191521925,-1.814091018,0.069663714,0.837214752
ABCC4,2.349241384,4.612886474,2.540404477,1.815807882,0.069399848,0.837214752
ABCC5,42.34889658,-0.229310845,0.613657181,-0.37367907,0.708643099,0.990364873
ABCC6,33.67558218,0.222367607,0.653157663,0.340450123,0.733517578,0.990364873
ABCC6P1,14.12773013,1.168872257,0.988007584,1.183060004,0.236785368,0.990364873
ABCC6P2,0.07307702,2.022093733,6.120206178,0.330396342,0.741100505,0.990364873
ABCC8,0.226693208,4.217179855,6.057103319,0.696237068,0.486280377,0.990364873
ABCC9,1.36214302,2.497846169,3.918287282,0.637484184,0.523809509,0.990364873
ABCD1,19.69989334,2.13594537,0.989819067,2.157914957,0.030934444,0.644968844
ABCD3,453.3435293,0.057851234,0.249507194,0.231861989,0.816645208,0.996317104
ABCD4,39.6321313,0.285547409,0.64679474,0.441480722,0.658865015,0.990364873
ABCE1,230.270032,-0.440956373,0.351687296,-1.253830827,0.209903502,0.990364873
ABCF1,164.0861585,0.424930558,0.392361151,1.083008747,0.278804541,0.990364873
ABCF2,68.84182214,-0.313325458,0.471102543,-0.665089718,0.505993111,0.990364873
ABCF3,65.19620134,-0.284715059,0.431654118,-0.659590741,0.509516498,0.990364873
ABCG1,27.77523203,0.271518234,0.699018892,0.388427606,0.697699618,0.990364873
ABCG2,484.8768455,0.403839074,0.369438302,1.093116421,0.274342687,0.990364873
ABCG4,0.315871817,-2.479207373,5.969140743,-0.415337396,0.677894929,0.990364873
ABCG5,7.331812155,-0.184102585,1.242687365,-0.148148754,0.882225374,0.996317104
ABCG8,0.72974368,0.747016899,3.746331908,0.199399551,0.841950212,0.996317104
ABHD1,0.445625265,2.022041881,6.120206177,0.33038787,0.741106906,0.990364873
ABHD10,107.0602727,0.066345932,0.43280718,0.153292124,0.878167911,0.996317104
ABHD11,167.0809319,0.112062124,0.313272701,0.357714297,0.720557133,0.990364873
ABHD11-AS1,24.64599451,0.009433024,0.672898015,0.014018505,0.988815218,0.99641976
ABHD12,265.975851,-0.632672188,0.360562045,-1.75468327,0.079313499,0.869532307
ABHD12B,0.567155986,3.145577642,6.007485215,0.523609718,0.600550021,0.990364873
ABHD13,79.27265772,-0.166905611,0.461183654,-0.36190704,0.717421499,0.990364873
ABHD14A,74.92022788,-0.101509872,0.669269121,-0.151672725,0.87944507,0.996317104
ABHD14B,246.2520238,0.931543016,0.372531891,2.50057254,0.012399274,0.442298052
ABHD15,43.63102835,1.230811673,0.576545028,2.134805804,0.032776876,0.662674124
ABHD16A,409.0747239,-0.162591322,0.308556558,-0.526941716,0.598234064,0.990364873
ABHD17A,43.22913105,1.530522247,0.576250295,2.656002541,0.007907302,0.353559444
ABHD17B,77.38260415,-0.422515919,0.553931562,-0.762758341,0.44560753,0.990364873
ABHD17C,596.4206396,-0.091320458,0.356245622,-0.256341279,0.797687326,0.996317104
ABHD18,24.27989992,-0.337476663,0.795849384,-0.424045893,0.671532344,0.990364873
ABHD2,869.0354282,-0.639412781,0.25983193,-2.460870691,0.013860031,0.455610581
ABHD3,130.023436,-0.496489096,0.441650423,-1.1241676,0.260941932,0.990364873
ABHD4,599.5050216,0.078329264,0.627049247,0.124917245,0.900589066,0.996317104
ABHD5,155.6245608,-0.377432302,0.39370288,-0.958672953,0.337723528,0.990364873
ABHD6,67.12653004,-0.053163101,0.419176637,-0.126827444,0.899076974,0.996317104
ABHD8,13.60353361,-1.184815618,1.13672744,-1.042304053,0.297270734,0.990364873
ABI1,142.2135415,-0.086937294,0.369613193,-0.235211555,0.814044538,0.996317104
ABI2,55.4690006,0.475131683,0.497191883,0.955630409,0.339258992,0.990364873
ABI3BP,0.402109846,2.022050027,6.120206177,0.330389201,0.7411059,0.990364873
ABL1,128.0246503,-0.436199197,0.410274626,-1.063188336,0.287696551,0.990364873
ABL2,26.94520503,0.021195479,0.870051582,0.024361175,0.980564517,0.99641976
ABLIM1,524.7453192,0.132209658,0.234775357,0.563132603,0.573344592,0.990364873
ABLIM2,2.16503685,-1.12802574,2.35860367,-0.478259978,0.632465178,0.990364873
ABLIM3,1.816778154,-1.557342763,2.581873629,-0.603183187,0.546386831,0.990364873
ABO,2.5603518,0.634861257,2.96256702,0.21429431,0.830317555,0.996317104
ABR,133.3233749,0.283149752,0.432277938,0.655017819,0.512456282,0.990364873
ABRACL,345.780757,-0.011616598,0.256289842,-0.045326019,0.963847449,0.996317104
ABT1,123.2952788,0.37754459,0.338906579,1.114007852,0.265275818,0.990364873
ABTB1,26.75373348,1.407697523,0.618586935,2.275666432,0.022865982,0.575290221
ABTB2,32.81907169,0.813100551,0.584025193,1.392235405,0.163851125,0.990364873
ACAA1,224.8353919,0.789823147,0.28609361,2.760715789,0.005767484,0.310773635
ACAA2,442.0078475,-0.203024754,0.257663939,-0.787943997,0.430729465,0.990364873
ACACA,73.46608659,-0.147395941,0.562038468,-0.262252406,0.793126852,0.996317104
ACACB,13.98525809,0.650109431,0.861500285,0.754624743,0.450474173,0.990364873
ACAD10,13.78687547,1.012652085,0.98586523,1.02717091,0.304339993,0.990364873
ACAD8,65.29779818,-0.48818685,0.570545603,-0.855649133,0.392191884,0.990364873
ACAD9,40.31574507,-0.177994123,0.618791927,-0.287647778,0.773616368,0.99576093
ACADM,93.58772475,-0.639882542,0.441844609,-1.448207197,0.147559112,0.990364873
ACADS,45.60606934,0.366354778,0.508043828,0.72110861,0.470842694,0.990364873
ACADSB,77.20475699,0.069128887,0.404303617,0.170982608,0.864237441,0.996317104
ACADVL,432.2071401,-0.092941863,0.316306454,-0.293834859,0.768884096,0.99576093
ACAP1,2.603883891,-2.018923006,2.200042534,-0.917674534,0.358789284,0.990364873
ACAP2,115.4328436,-0.884926844,0.358562814,-2.467982764,0.013587686,0.453275147
ACAP3,17.50608972,-0.476310643,0.933193452,-0.510409328,0.609764723,0.990364873
ACAT1,99.33399756,0.162105594,0.475684534,0.340783824,0.733266329,0.990364873
ACAT2,91.81108041,-0.690673285,0.588935645,-1.172748316,0.24089675,0.990364873
ACBD3,234.1659106,0.00877075,0.336715455,0.026047959,0.979219085,0.99641976
ACBD4,40.91784879,1.170237094,0.475670055,2.460186597,0.01388648,0.455648531
ACBD5,104.2632587,-0.178333279,0.353873522,-0.503946375,0.614299061,0.990364873
ACBD6,74.38400574,0.0327118,0.523796139,0.062451396,0.950203367,0.996317104
ACBD7,6.584069653,2.442786817,1.326319981,1.84177789,0.065507645,0.825091047
ACCS,13.40040625,0.558689816,0.975547904,0.572693369,0.566852328,0.990364873
ACD,40.07790368,-0.525971041,0.71142002,-0.739325611,0.459709301,0.990364873
ACE,49.47561769,1.016694755,0.693462575,1.466113374,0.142617403,0.984808372
ACE2,329.7627506,0.316833695,0.308817271,1.02595847,0.30491116,0.990364873
ACER2,13.66683527,-1.683392157,0.98272905,-1.712976896,0.08671679,0.895537719
ACER3,85.01230852,0.585278719,0.408069574,1.43426209,0.151497484,0.990364873
ACHE,48.96953678,0.608758375,1.440718129,0.422538152,0.672632259,0.990364873
ACIN1,753.1281392,-0.156619854,0.25545824,-0.613093765,0.539814343,0.990364873
ACKR2,0.948883415,0.297535916,3.024409789,0.098378175,0.921632004,0.996317104
ACKR4,45.32536962,-0.093988874,0.510646027,-0.184058759,0.853967359,0.996317104
ACLY,379.5329801,0.153299738,0.23795256,0.644244961,0.5194166,0.990364873
ACMSD,3.035905863,0.6700697,5.795005341,0.115628832,0.907946711,0.996317104
ACO1,219.5229338,0.156331738,0.285763942,0.547066002,0.584333388,0.990364873
ACO2,7.703867972,0.688124538,1.170091972,0.588094401,0.556468931,0.990364873
ACOT11,36.54462962,1.424429397,0.544619776,2.615456617,0.008910824,0.372583368
ACOT12,0.187420993,2.022105813,6.120206177,0.330398316,0.741099014,0.990364873
ACOT13,138.993332,-0.525991807,0.452219837,-1.163132981,0.244775553,0.990364873
ACOT2,2.928654379,0.456407937,1.783871475,0.255852478,0.798064751,0.996317104
ACOT4,26.89468507,1.647126548,0.833212155,1.976839318,0.048059796,0.758763507
ACOT7,331.3059183,0.368788151,0.334117792,1.103766874,0.269694278,0.990364873
ACOT8,41.04586895,1.350691044,0.797789337,1.693042238,0.090447428,0.90208891
ACOT9,61.82730852,0.816992416,0.528149261,1.546896829,0.121888126,0.953080302
ACOX1,178.4702753,0.49905432,0.380006037,1.313279979,0.189088622,0.990364873
ACOX2,18.8509782,1.620157868,1.012133147,1.600735904,0.109435425,0.932221659
ACOX3,29.98598766,0.391130163,0.684080046,0.571760812,0.567484029,0.990364873
ACP1,365.2422837,-0.138368106,0.259948497,-0.532290464,0.594524836,0.990364873
ACP2,45.22557772,0.918858185,0.541594985,1.696578088,0.089776455,0.90208891
ACP5,1.116209665,-3.40177271,4.504446649,-0.755203241,0.450127044,0.990364873
ACP6,74.05547534,-0.583165073,0.474219599,-1.229736338,0.218795855,0.990364873
ACP7,0.454354569,2.555446748,6.032112139,0.423640458,0.671828045,0.990364873
ACPP,11.85535951,0.828793005,1.010079891,0.820522231,0.411918461,0.990364873
ACR,7.794234991,-0.860568175,1.434791675,-0.59978615,0.548648765,0.990364873
ACRBP,1.691849418,0.806783335,3.314092859,0.243440172,0.807664427,0.996317104
ACRC,5.051886916,0.456046944,1.922089786,0.237266202,0.81245028,0.996317104
ACRV1,0.297002243,2.022074602,6.120206177,0.330393216,0.741102867,0.990364873
ACSBG1,0.368333488,2.021988024,6.120206177,0.33037907,0.741113554,0.990364873
ACSF2,20.0193859,0.828217947,0.792450691,1.045134992,0.295960583,0.990364873
ACSF3,49.12340792,1.361432476,0.64110614,2.123567988,0.033706285,0.673471382
ACSL1,135.7382231,-0.21103962,0.374344115,-0.563758347,0.572918603,0.990364873
ACSL3,257.4674629,-0.15825196,0.273643054,-0.578315281,0.563051279,0.990364873
ACSL4,100.1847176,-0.71751443,0.455168293,-1.576371732,0.114940159,0.938332996
ACSL5,569.9945272,0.320896799,0.229642098,1.397377926,0.162299954,0.990364873
ACSL6,0.81288556,0.462262279,5.56864374,0.083011645,0.93384228,0.996317104
ACSM1,0.133835063,2.022098164,6.120206178,0.330397066,0.741099958,0.990364873
ACSM2A,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ACSM2B,0.163148353,2.022086967,6.120206177,0.330395236,0.74110134,0.990364873
ACSM3,12.76068658,-1.042461809,1.105185686,-0.943245848,0.345555167,0.990364873
ACSM6,0.059644251,2.022115069,6.120206177,0.330399828,0.741097871,0.990364873
ACSS1,50.17023148,0.338342789,0.520608666,0.649898496,0.515757789,0.990364873
ACSS2,600.9687844,-0.31369583,0.26191879,-1.197683564,0.23104023,0.990364873
ACSS3,0.059644251,2.022115069,6.120206177,0.330399828,0.741097871,0.990364873
ACTA1,0.722242209,2.022050439,6.120206177,0.330389268,0.74110585,0.990364873
ACTA2,9.356989043,-2.660437043,1.397527176,-1.903674639,0.056952571,0.784175522
ACTB,18637.06185,0.185460436,0.323080196,0.574038393,0.565941821,0.990364873
ACTBL2,0.338785478,3.254093863,6.082330185,0.535007762,0.59264449,0.990364873
ACTC1,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ACTG1,10259.94813,0.139170313,0.185743154,0.74926214,0.453699222,0.990364873
ACTG1P17,1.268118962,2.02210293,4.512985377,0.448063258,0.654107544,0.990364873
ACTG1P20,3.672485599,-0.76461163,2.019818688,-0.378554587,0.705018651,0.990364873
ACTG1P4,0.064449012,0.655393726,6.109600852,0.107272757,0.914572597,0.996317104
ACTL10,7.223773647,-0.966714219,1.223941138,-0.789837182,0.429622861,0.990364873
ACTL6A,155.9184818,-0.699778676,0.34492203,-2.028802498,0.042478411,0.731554581
ACTL6B,0.120155919,2.022090665,6.120206177,0.330395841,0.741100884,0.990364873
ACTN1,1422.491976,0.158666391,0.324726594,0.488615327,0.62511406,0.990364873
ACTN4,4637.095098,0.627904513,0.224937098,2.791467117,0.005246969,0.304899669
ACTR10,345.4260567,-0.119332234,0.399808374,-0.298473574,0.765341742,0.99576093
ACTR1A,335.433714,0.466624015,0.304125841,1.534312289,0.124952844,0.959054338
ACTR1B,133.8345044,0.221610238,0.382736241,0.579015558,0.562578675,0.990364873
ACTR2,742.6340266,-0.109233801,0.187621885,-0.58220181,0.560430754,0.990364873
ACTR3,837.1978598,0.117670142,0.212549399,0.553613149,0.579843625,0.990364873
ACTR3B,20.05615818,-0.596636937,1.044561424,-0.571184158,0.567874816,0.990364873
ACTR3C,16.56637384,-0.109604429,1.051357601,-0.10425038,0.916970655,0.996317104
ACTR5,16.08956909,0.72656945,0.959996589,0.756845866,0.44914221,0.990364873
ACTR6,36.06650164,-0.025942176,0.615156837,-0.042171645,0.966361867,0.996317104
ACTR8,23.76704704,-0.185368725,0.842969318,-0.21989973,0.825949247,0.996317104
ACTRT3,3.761162473,-0.484967821,1.880762552,-0.257857017,0.796517259,0.996317104
ACVR1,61.08994143,-0.305732907,0.658415838,-0.464346222,0.642399713,0.990364873
ACVR1B,66.61511561,1.07511144,0.573243392,1.875488587,0.060725538,0.799641699
ACVR1C,18.16891105,-0.261240872,0.969239096,-0.269531917,0.787520384,0.996317104
ACVR2A,48.82377492,-0.079266172,0.516826102,-0.15337107,0.878105657,0.996317104
ACVR2B,7.491256392,-2.261045292,1.628699245,-1.388252189,0.165060265,0.990364873
ACVR2B-AS1,2.082449972,1.061019564,2.377224184,0.446327095,0.655360987,0.990364873
ACVRL1,2.203395102,0.501133219,2.96411047,0.169066985,0.865743954,0.996317104
ACY1,0.089222574,2.022095317,6.120206177,0.330396601,0.74110031,0.990364873
ACY3,122.3880403,0.050623378,0.362110239,0.139801011,0.888817214,0.996317104
ACYP1,41.80264619,0.197661138,0.762594471,0.259195608,0.795484319,0.996317104
ACYP2,47.41741278,-0.2143999,0.722023317,-0.296943181,0.766509889,0.99576093
ADA,15.0518079,1.489947375,0.938014819,1.588404943,0.1121948,0.935921034
ADAL,17.67445436,-0.417562661,0.886469359,-0.471040151,0.637612062,0.990364873
ADAM10,260.7804658,-0.028550201,0.394474834,-0.072375216,0.942303308,0.996317104
ADAM11,0.240311838,2.022071882,6.120206177,0.330392772,0.741103203,0.990364873
ADAM12,0.807187835,1.777387682,5.533377298,0.321212089,0.748049671,0.992368126
ADAM15,63.62738585,0.479969617,0.622886487,0.770557119,0.440969486,0.990364873
ADAM17,84.9789148,-0.494604078,0.470405913,-1.051441032,0.293056079,0.990364873
ADAM19,0.251431545,2.022029256,6.120206177,0.330385807,0.741108465,0.990364873
ADAM1A,5.774845061,-0.364941274,1.465446102,-0.24903084,0.803336926,0.996317104
ADAM2,0.150388079,0.655376115,6.109599929,0.10726989,0.914574871,0.996317104
ADAM20,0.199438145,2.022068401,6.120206177,0.330392203,0.741103632,0.990364873
ADAM22,0.57301991,3.255894911,5.164440786,0.630444814,0.528403598,0.990364873
ADAM28,17.22069681,-0.453731323,0.899958759,-0.504169017,0.614142611,0.990364873
ADAM29,0.4343578,4.496456561,6.052260409,0.742938383,0.457518986,0.990364873
ADAM30,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ADAM32,0.531511313,2.021954509,6.120206177,0.330373594,0.741117692,0.990364873
ADAM33,0.765641037,2.021989552,5.988224693,0.337660936,0.735618716,0.990364873
ADAM3A,1.097055958,6.279819401,5.978894758,1.050331149,0.293565889,0.990364873
ADAM8,49.13103803,-0.369094807,0.680079275,-0.542723209,0.587320392,0.990364873
ADAM9,529.5102575,-0.305592593,0.244674592,-1.24897559,0.211674002,0.990364873
ADAMTS1,0.488190486,3.254044262,6.082330231,0.534999604,0.592650131,0.990364873
ADAMTS13,1.782572625,-0.233273704,2.940088302,-0.079342414,0.936760271,0.996317104
ADAMTS14,1.44344629,4.095587592,3.510264322,1.166746209,0.243312876,0.990364873
ADAMTS15,0.195012516,0.655345973,6.109598349,0.107264985,0.914578762,0.996317104
ADAMTS17,1.035379403,-1.809432644,3.224792024,-0.561100571,0.574728979,0.990364873
ADAMTS18,0.187420993,2.022105813,6.120206177,0.330398316,0.741099014,0.990364873
ADAMTS19,6.88124972,4.003901604,2.221875507,1.802036879,0.071539603,0.842897635
ADAMTS2,1.536986111,-2.35295625,3.520634344,-0.668333039,0.503921028,0.990364873
ADAMTS3,0.059644251,2.022115069,6.120206177,0.330399828,0.741097871,0.990364873
ADAMTS4,0.191253373,3.840992162,6.065116406,0.633292406,0.526542711,0.990364873
ADAMTS6,1.107496151,2.022144872,4.183886113,0.483317379,0.628870402,0.990364873
ADAMTS7,1.155247577,2.634645707,4.533398333,0.581163514,0.561130255,0.990364873
ADAMTS9,0.265222277,2.022075445,6.120206177,0.330393354,0.741102763,0.990364873
ADAMTSL2,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ADAMTSL4,6.437223632,-0.763496413,1.580798778,-0.482981404,0.62910894,0.990364873
ADAMTSL4-AS1,0.543108011,2.021981018,5.952267286,0.339699298,0.734082991,0.990364873
ADAMTSL5,67.27120895,0.158124607,0.473648721,0.333843627,0.73849756,0.990364873
ADAP1,135.812434,0.434239003,0.530169145,0.819057479,0.412753621,0.990364873
ADAP2,4.336615485,0.36553374,1.697540345,0.215331401,0.82950895,0.996317104
ADAR,586.3554611,0.399874984,0.259391371,1.541589383,0.123173407,0.953914264
ADARB1,11.21552388,0.70313674,1.02241612,0.68772071,0.491628676,0.990364873
ADARB2,0.120373702,2.022098643,6.120206177,0.330397144,0.741099899,0.990364873
ADAT1,130.5058027,-0.776572432,0.497351468,-1.561415785,0.11842568,0.946459715
ADAT2,41.44758689,-0.602227267,0.679974317,-0.885661785,0.375799807,0.990364873
ADAT3,17.38047103,-1.600111362,1.027034013,-1.55799257,0.119235009,0.946628232
ADCK1,52.45891825,0.180982083,0.65020103,0.278347887,0.78074532,0.996317104
ADCK2,20.19890719,0.474188782,0.748826415,0.633242594,0.526575234,0.990364873
ADCK3,42.20045611,0.139606615,0.602732156,0.231622975,0.816830861,0.996317104
ADCK4,28.74168862,0.53119108,0.755733905,0.702881102,0.482129849,0.990364873
ADCK5,35.10768174,1.195129026,0.70813,1.687725454,0.091463943,0.902710081
ADCY1,8.450451335,5.306338375,2.119841866,2.503176515,0.012308414,0.440444292
ADCY10,0.482927765,3.145617881,6.007486995,0.523616261,0.600545469,0.990364873
ADCY10P1,2.748260521,-1.790555106,2.101003182,-0.852238169,0.394081916,0.990364873
ADCY2,0.566424991,-2.003003863,5.977441943,-0.335093821,0.737554313,0.990364873
ADCY3,5.777884829,-2.013715914,1.959544354,-1.027644978,0.304116859,0.990364873
ADCY4,1.92760037,0.444002176,2.917644311,0.152178308,0.879046302,0.996317104
ADCY5,0.187420993,2.022105813,6.120206177,0.330398316,0.741099014,0.990364873
ADCY6,51.58970359,0.48558704,0.498003806,0.975066926,0.329527063,0.990364873
ADCY7,2.947331937,-3.361134071,2.372172369,-1.416901282,0.156511792,0.990364873
ADCY9,25.33359931,-0.348292057,0.735390527,-0.473615098,0.635774407,0.990364873
ADD1,520.0339122,0.170448298,0.259256227,0.657451123,0.510890889,0.990364873
ADD2,0.120155919,2.022090665,6.120206177,0.330395841,0.741100884,0.990364873
ADD3,386.4142357,0.194524272,0.329304498,0.590712466,0.554713094,0.990364873
ADD3-AS1,2.810066843,-2.965762355,2.59663832,-1.142154582,0.253389771,0.990364873
ADGRA3,58.66023035,-0.448751645,0.477289591,-0.94020832,0.347110715,0.990364873
ADGRB1,0.155813537,3.254134831,6.082330234,0.535014494,0.592639835,0.990364873
ADGRB2,0.7511653,-2.856841501,5.964245399,-0.478994627,0.631942451,0.990364873
ADGRE2,0.410446445,4.217112544,6.057103288,0.696225959,0.486287333,0.990364873
ADGRE3,0.080103946,2.022101673,6.120206177,0.330397639,0.741099525,0.990364873
ADGRE4P,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ADGRE5,76.13218877,0.382224638,0.496657852,0.769593467,0.441541082,0.990364873
ADGRF1,94.93705638,-0.799820958,0.423212374,-1.889880844,0.058773898,0.790382887
ADGRF2,1.519402369,1.713286131,2.570772825,0.666447892,0.505124859,0.990364873
ADGRF3,0.481783746,2.022016967,6.120206177,0.330383799,0.741109982,0.990364873
ADGRF4,13.60744667,-3.304290033,1.678459147,-1.968644896,0.048993883,0.76269019
ADGRF5,1.808476422,-0.432368334,2.84992107,-0.151712389,0.879413785,0.996317104
ADGRG1,163.6671931,0.282696048,0.385759952,0.732828916,0.463662783,0.990364873
ADGRG3,0.080103946,2.022101673,6.120206177,0.330397639,0.741099525,0.990364873
ADGRG4,0.463312182,-2.11223633,5.975290227,-0.353495186,0.723717237,0.990364873
ADGRG5,2.805119009,2.327923894,2.18346121,1.06616224,0.286350308,0.990364873
ADGRG6,543.2154657,-0.474397855,0.252123374,-1.88160997,0.059888992,0.794781037
ADGRG7,141.5460929,0.00839331,0.424386389,0.019777519,0.984220851,0.99641976
ADGRL1,100.0952928,-1.033593925,0.480094742,-2.152895738,0.031326874,0.647158601
ADGRL2,3.773150872,2.213190864,1.486340213,1.489020376,0.136482003,0.972474541
ADGRL3,0.862477964,2.022081675,4.666916457,0.433280024,0.664811348,0.990364873
ADGRL4,0.244426511,3.840983904,6.065116423,0.633291043,0.526543602,0.990364873
ADGRV1,0.711224878,3.467098462,4.7438265,0.73086536,0.464861396,0.990364873
ADH1A,0.542962949,2.022015311,6.120206177,0.330383528,0.741110186,0.990364873
ADH1B,0.166975007,0.558814127,5.98338763,0.093394271,0.925590341,0.996317104
ADH1C,69.44102579,2.313116897,0.591063607,3.913482186,9.10E-05,0.024830556
ADH4,24.71079887,0.417166635,0.727307746,0.573576504,0.566254415,0.990364873
ADH5,977.6842053,-0.16835188,0.23913981,-0.703989351,0.481439405,0.990364873
ADH6,72.24150894,0.093373165,0.58668747,0.159153161,0.873548206,0.996317104
ADH7,0.222644846,2.022047418,6.120206177,0.330388774,0.741106222,0.990364873
ADHFE1,8.287482079,-0.767815537,1.336823622,-0.574358146,0.56572547,0.990364873
ADI1,895.7701568,0.28998851,0.19178476,1.512051897,0.130520661,0.965661938
ADIPOQ,0.350795407,3.840910283,6.065116356,0.633278911,0.526551522,0.990364873
ADIPOQ-AS1,0.800674674,4.230648404,5.131128225,0.824506467,0.409651843,0.990364873
ADIPOR1,773.3597268,-0.098229052,0.30790562,-0.319023251,0.749708881,0.992741531
ADIPOR2,271.6006187,-0.4147947,0.263015715,-1.577071926,0.114778976,0.938085421
ADIRF,1038.36307,0.156152077,0.292841836,0.533230083,0.593874319,0.990364873
ADK,131.5681794,-0.028074178,0.485730767,-0.057797817,0.953909677,0.996317104
ADM,89.50191066,-0.7831714,0.50667104,-1.545719684,0.122172281,0.953557831
ADM2,66.59514659,-0.290590093,0.509908291,-0.569886974,0.56875436,0.990364873
ADM5,3.86115345,-2.017097464,2.096639352,-0.962062199,0.336018361,0.990364873
ADNP,111.7972943,0.298380339,0.344646564,0.865757475,0.386623174,0.990364873
ADNP-AS1,1.003001928,0.352165078,3.884237158,0.090665184,0.927758635,0.996317104
ADNP2,60.26434702,-0.267490975,0.569632713,-0.469584995,0.638651547,0.990364873
ADO,113.7645431,0.277324468,0.370077353,0.749368924,0.453634876,0.990364873
